model,system,flash,add,update,delete,empty,total_visible_actions,total_all_events,api_calls,non_empty_calls,visible_facts_per_call
deepseek-r1-1.5b,SAGE,False,3527,115,0,253,3642,3895,1696,1443,2.5239085239085237
deepseek-r1-7b,SAGE,False,3757,106,0,248,3863,4111,1696,1448,2.667817679558011
llama3.2-1b,SAGE,False,7856,397,0,38,8253,8291,1696,1658,4.977683956574186
llama3.2-3b,SAGE,False,8576,407,0,100,8983,9083,1696,1596,5.62844611528822
qwen2.5-1.5b,SAGE,False,219,26,0,1539,245,1784,1696,157,1.5605095541401275
qwen2.5-3b,SAGE,False,2153,62,0,357,2215,2572,1696,1339,1.654219566840926
qwen2.5-7b,SAGE,False,4292,193,0,133,4485,4618,1696,1563,2.8694817658349328
deepseek-r1-1.5b,mem0,False,1847,925,30,824,2802,3626,1696,872,3.213302752293578
deepseek-r1-7b,mem0,False,3022,668,20,386,3710,4096,1696,1310,2.83206106870229
llama3.2-1b,mem0,False,198,476,55,1347,729,2076,1696,349,2.0888252148997135
llama3.2-3b,mem0,False,6765,690,484,175,7939,8114,1696,1521,5.219592373438528
qwen2.5-1.5b,mem0,True,134,19,1,1592,154,1746,1696,104,1.4807692307692308
qwen2.5-3b,mem0,True,2434,57,19,411,2510,2921,1696,1285,1.953307392996109
qwen2.5-7b,mem0,True,3591,2347,397,123,6335,6458,1696,1573,4.027336300063573
deepseek-r1-1.5b,mem0g,True,1866,1048,46,801,2960,3761,1696,895,3.3072625698324023
deepseek-r1-7b,mem0g,True,3122,680,17,407,3819,4226,1696,1289,2.9627618308766484
llama3.2-1b,mem0g,True,260,551,70,1294,881,2175,1696,402,2.191542288557214
llama3.2-3b,mem0g,True,6679,763,509,174,7951,8125,1696,1522,5.224047306176084
qwen2.5-1.5b,mem0g,True,121,15,1,1596,137,1733,1696,100,1.37
qwen2.5-3b,mem0g,True,2527,74,16,418,2617,3035,1696,1278,2.04773082942097
qwen2.5-7b,mem0g,True,3550,2394,439,120,6383,6503,1696,1576,4.050126903553299
